yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro,year_team_ID
1985,NL,ATL,ATL,W,5,162,81,66,96,N,,N,N,632,5526,1359,213,28,126,553,849,72,52,,,781,678,4.19,9,9,29,4371,1512,134,642,776,159,197,0.97,Atlanta Braves,Atlanta-Fulton County Stadium,1350137,105,106,ATL,ATL,ATL,1985_ATL
1985,AL,BAL,BAL,E,4,161,81,83,78,N,,N,N,818,5517,1451,234,22,214,604,908,69,43,,,764,694,4.38,32,6,33,4281,1480,160,568,793,115,168,0.98,Baltimore Orioles,Memorial Stadium,2132387,97,97,BAL,BAL,BAL,1985_BAL
1985,AL,BOS,BOS,E,5,163,81,81,81,N,,N,N,800,5720,1615,292,31,162,562,816,66,27,,,720,659,4.06,35,8,29,4383,1487,130,540,913,145,161,0.97,Boston Red Sox,Fenway Park II,1786633,104,104,BOS,BOS,BOS,1985_BOS
1985,AL,CAL,ANA,W,2,162,79,90,72,N,,N,N,732,5442,1364,215,31,153,648,902,106,51,,,703,633,3.91,22,8,41,4371,1453,171,514,767,112,202,0.98,California Angels,Anaheim Stadium,2567427,100,100,CAL,CAL,CAL,1985_CAL
1985,AL,CHA,CHW,W,3,163,81,85,77,N,,N,N,736,5470,1386,247,37,146,471,843,108,56,,,720,656,4.07,20,8,39,4353,1411,161,569,1023,111,152,0.98,Chicago White Sox,Comiskey Park,1669888,104,104,CHW,CHA,CHA,1985_CHA
1985,NL,CHN,CHC,E,4,162,81,77,84,N,,N,N,686,5492,1397,239,28,150,562,937,182,49,,,729,667,4.16,20,8,42,4326,1492,156,519,820,134,150,0.97,Chicago Cubs,Wrigley Field,2161534,110,110,CHC,CHN,CHN,1985_CHN
1985,NL,CIN,CIN,W,2,162,81,89,72,N,,N,N,677,5431,1385,249,34,114,576,856,159,70,,,666,598,3.71,24,11,45,4353,1347,131,535,910,121,142,0.98,Cincinnati Reds,Riverfront Stadium,1834619,104,105,CIN,CIN,CIN,1985_CIN
1985,AL,CLE,CLE,E,7,162,81,60,102,N,,N,N,729,5527,1465,254,31,116,492,817,132,72,,,861,775,4.91,24,7,28,4263,1556,170,547,702,141,161,0.97,Cleveland Indians,Cleveland Stadium,655181,99,100,CLE,CLE,CLE,1985_CLE
1985,AL,DET,DET,E,3,161,81,84,77,N,,N,N,729,5575,1413,254,45,202,526,926,75,41,,,688,612,3.78,31,11,40,4368,1313,141,556,943,141,152,0.97,Detroit Tigers,Tiger Stadium,2286609,100,98,DET,DET,DET,1985_DET
1985,NL,HOU,HOU,W,3,162,81,83,79,N,,N,N,706,5582,1457,261,42,121,477,873,96,56,,,691,593,3.66,17,9,42,4374,1393,119,543,909,152,159,0.97,Houston Astros,Astrodome,1184314,97,96,HOU,HOU,HOU,1985_HOU
1985,AL,KCA,KCR,W,1,162,82,91,71,Y,,Y,Y,687,5500,1384,261,49,154,473,840,128,48,,,639,567,3.49,27,11,41,4383,1433,103,463,846,127,160,0.98,Kansas City Royals,Royals Stadium,2162717,100,100,KCR,KCA,KCA,1985_KCA
1985,NL,LAN,LAD,W,1,162,81,95,67,Y,,N,N,682,5502,1434,226,28,129,539,846,136,58,,,579,482,2.96,37,21,36,4395,1280,102,462,979,166,131,0.97,Los Angeles Dodgers,Dodger Stadium,3264593,97,96,LAD,LAN,LAN,1985_LAN
1985,AL,MIN,MIN,W,4,162,84,77,85,N,,N,N,705,5509,1453,282,41,141,502,779,68,44,,,782,710,4.48,41,7,34,4278,1468,164,462,767,120,139,0.98,Minnesota Twins,Hubert H Humphrey Metrodome,1651814,105,105,MIN,MIN,MIN,1985_MIN
1985,AL,ML4,MIL,E,6,161,80,71,90,N,,N,N,690,5568,1467,250,44,101,462,746,69,34,,,802,701,4.39,34,5,37,4311,1510,175,499,777,142,153,0.97,Milwaukee Brewers,County Stadium,1360265,100,101,MIL,MIL,MIL,1985_ML4
1985,NL,MON,WSN,E,3,161,81,84,77,N,,N,N,633,5429,1342,242,49,118,492,880,169,77,,,636,575,3.55,13,13,53,4371,1346,99,509,870,121,152,0.98,Montreal Expos,Stade Olympique,1502494,95,95,MON,MON,MON,1985_MON
1985,AL,NYA,NYY,E,2,161,80,97,64,N,,N,N,839,5458,1458,272,31,176,620,771,155,53,,,660,590,3.69,25,9,49,4320,1373,157,518,907,123,172,0.97,New York Yankees,Yankee Stadium II,2214587,98,97,NYY,NYA,NYA,1985_NYA
1985,NL,NYN,NYM,E,2,162,81,98,64,N,,N,N,695,5549,1425,239,35,134,546,872,117,53,,,568,514,3.11,32,19,37,4464,1306,111,515,1039,115,138,0.98,New York Mets,Shea Stadium,2761601,99,97,NYM,NYN,NYN,1985_NYN
1985,AL,OAK,OAK,W,4,162,79,77,85,N,,N,N,757,5581,1475,230,34,155,508,861,117,58,,,787,712,4.41,10,6,41,4359,1451,172,607,785,140,137,0.97,Oakland Athletics,Oakland Coliseum,1334599,92,92,OAK,OAK,OAK,1985_OAK
1985,NL,PHI,PHI,E,5,162,81,75,87,N,,N,N,667,5477,1343,238,47,141,527,1095,122,51,,,673,592,3.68,24,9,30,4341,1424,115,596,899,139,142,0.97,Philadelphia Phillies,Veterans Stadium,1830350,103,103,PHI,PHI,PHI,1985_PHI
1985,NL,PIT,PIT,E,6,161,80,57,104,N,,N,N,568,5436,1340,251,28,80,514,842,110,60,,,708,637,3.97,15,6,29,4335,1406,107,584,962,133,127,0.97,Pittsburgh Pirates,Three Rivers Stadium,735900,99,100,PIT,PIT,PIT,1985_PIT
